#trial,#facility,#customer,algorithm,error,time
10,1,1,Dualoc,4.785549418863081,0.032746599754318595
10,1,1,LP_relaxation,8.714775560016186,2.372101600849419
10,1,1,LP_lagrangian,67.10232182672229,2.0359743997687474
10,2,2,Dualoc,24.1072097593391,0.06509589984489139
10,2,2,LP_relaxation,41.888144334138154,2.6759757005493157
10,2,2,LP_lagrangian,92.05035580250492,2.123987799495808
10,3,3,Dualoc,5.006834562405447,0.12433000119926874
10,3,3,LP_relaxation,35.53332693944753,4.488357800073572
10,3,3,LP_lagrangian,151.926653462406,2.4373333995754365
10,4,4,Dualoc,151.9747532375535,0.22267409985943232
10,4,4,LP_relaxation,14.451677282952529,5.04835120154894
10,4,4,LP_lagrangian,301.6154066549141,2.6805805006006267
10,5,5,Dualoc,20.94126172989189,0.39582710014656186
10,5,5,LP_relaxation,19.030627593474627,5.985177199909231
10,5,5,LP_lagrangian,334.9050245213999,2.864049199706642
10,6,6,Dualoc,10.307234089073297,0.6123670995293651
10,6,6,LP_relaxation,0.7830962395737231,6.781363399932161
10,6,6,LP_lagrangian,500.9179059124921,3.1317428994952934
