#trial,#facility,#customer,algorithm,value,time
500,2,2,Dualoc,1268.5691119965607,5.8815555996261535e-05
500,3,3,Dualoc,1570.9078217675321,0.00011806925211567432
500,4,4,Dualoc,1834.5859724461864,0.00021275982997758547
500,5,5,Dualoc,2047.9102596151542,0.0003725806619331706
500,6,6,Dualoc,2330.1899057169967,0.0005991486859929865
500,7,7,Dualoc,2493.598388879996,0.001045975879955222
500,2,2,LP_relaxation,1285.7544090414342,0.00283317618786532
500,3,3,LP_relaxation,1555.9251970173518,0.004323635425957036
500,4,4,LP_relaxation,1896.5111216668452,0.004803055086071254
500,5,5,LP_relaxation,2140.9174353235126,0.005503201332001481
500,6,6,LP_relaxation,2380.415540922133,0.006227074898008141
500,7,7,LP_relaxation,2576.071131134089,0.007050538874114863
500,2,2,LP_lagrangian,6213.856090187286,0.0020932650579488835
500,3,3,LP_lagrangian,18324.531237071515,0.0022740162921327284
500,4,4,LP_lagrangian,41423.6203273726,0.0024405873880314175
500,5,5,LP_lagrangian,76926.1947428564,0.002659394847942167
500,6,6,LP_lagrangian,131043.89575835719,0.002887281832037843
500,7,7,LP_lagrangian,202859.103453506,0.003158947584030102
