#trial,#facility,#customer,algorithm,value,time
100,20,20,Dualoc,4488.230995105858,0.03365501335982117
200,20,20,Dualoc,4525.451681779628,0.03292518979986198
300,20,20,Dualoc,4516.537325490571,0.03295536092326074
400,20,20,Dualoc,4484.006436586371,0.033360296125156313
500,20,20,Dualoc,4492.328208084911,0.03284971062007389
600,20,20,Dualoc,4468.607913898623,0.034398491143225934
100,20,20,LP_relaxation,4765.388746968683,0.026771921889921942
200,20,20,LP_relaxation,4770.129547991252,0.027216497810113652
300,20,20,LP_relaxation,4727.314394979713,0.02730099317010172
400,20,20,LP_relaxation,4767.385921691173,0.02789814593246774
500,20,20,LP_relaxation,4679.40665002134,0.027629707215935922
600,20,20,LP_relaxation,4727.346214150598,0.027202233706678573
100,20,20,LP_lagrangian,0.0,4.109600922674872e-07
200,20,20,LP_lagrangian,0.0,4.0511506085749713e-07
300,20,20,LP_lagrangian,0.0,4.074268144904636e-07
400,20,20,LP_lagrangian,0.0,4.140799592278199e-07
500,20,20,LP_lagrangian,0.0,4.0365589666180314e-07
600,20,20,LP_lagrangian,0.0,4.0508993455053617e-07
